metric,value
median_repo_age_days,3061.5
median_merged_prs,739.0
median_releases,40.5
median_last_update_days,1.0
median_closed_issue_ratio,0.8674811863082965

language,frequency
Python,200
TypeScript,160
JavaScript,115
Go,77
Rust,54
Java,47
C++,46
C,25
Jupyter Notebook,23
Shell,21
HTML,18
Ruby,12
C#,11
Kotlin,10
CSS,8
Vue,7
PHP,7
Swift,7
Dart,6
Markdown,5
MDX,5
Vim Script,4
Clojure,4
Dockerfile,3
Zig,3
Makefile,3
Scala,2
Assembly,2
Nunjucks,2
PowerShell,2
Lua,2
Haskell,2
Svelte,2
TeX,2
Batchfile,1
Blade,1
Roff,1
Julia,1
V,1
LLVM,1
Elixir,1
Objective-C,1
